label	query	doc	generated_explanation
1	what are benefits of beet powder	Betaine, a phytochemical in beet powder helps the kidneys and liver to process an amino acid known as SAM-e. SAM-e occurs naturally in the body. Adding beet root powder to your diet increases the production of SAM-e in the body naturally. Almost a thousand published studies have reported on the array of benefits elevated levels of SAM-e provides for the liver. The liver contains the third highest amount of SAM-e in the body, after the adrenal and pineal glands.	" The question is what are the benefits of beet powder. The passage describes the benefits of beet powder, including the role of betaine in the body.



 
**Please provide the passage and the question.** 
"
0	iphone watch price	Confirming much of the leaked information, Apple's new top-of-the-line device the iPhone 5S brings a new 64-bit A7 processor to the table. Indeed Apple claims that this new silicon makes the 5S twice as fast compared with the A6-powered iPhone 5 and iPhone 5C.ndeed, despite its budget price, the iPhone 5C will replace the iPhone 5 completely. Find out just how these new iPhone models fair when pitted head-to-head against Apple's venerable handset from last year.	" The question is about the price of iPhone watch. The passage is about the iPhone 5S and its features.



 
Please provide the passage and the question. 
"
1	are headaches normal with kidney disease	Why Patients with Kidney Disease Have Headache. Headache is a common sign of kidney disease. Therefore, you should not neglect unexplained headache and delay the treatment. The condition in kidney disease is mainly attributable to the following causes.	" The question is about headaches and kidney disease. The passage talks about headaches as a common sign of kidney disease.



 
Please provide the passage and the question. 
"
0	average temperature in tucson in july	Yellowstone: Annual Weather Averages. July is the hottest month in Yellowstone with an average temperature of 24Â°C (75Â°F) and the coldest is January at -2Â°C (28Â°F) .ellowstone: Annual Weather Averages. July is the hottest month in Yellowstone with an average temperature of 24Â°C (75Â°F) and the coldest is January at -2Â°C (28Â°F) .	" The question is about the average temperature in Tucson in July. The passage is about the average temperature in Yellowstone.



 
Please provide the passage and the question. 
"
1	what is ron howard's net worth	Ron Howard was born in Oklahoma and has an estimated net worth of $140 million dollars. Ron Howard began his career in show business as a ch...	" The question is what is Ron Howard's net worth. The passage states that Ron Howard has an estimated net worth of $140 million.



 
Please provide the passage and the question. 
"
0	what different types of teams are in workplace	A psychologically safe and healthy workplace is one that promotes workers' mental well-being and does not harm employee mental health through negligent, reckless or intentional ways. For example, a psychologically safe workplace would be free of excessive fear or chronic anxiety.	" The question is about different types of teams in workplace. The passage is about a psychologically safe workplace.



 
Please provide the passage and the question. 
"
1	how do i get alkaline water	Ways to make alkaline water. How exactly is Alkaline Water made? There are many ways to make alkaline water: You could use a little baking soda and make your water alkaline, or you could add lemon juice to water and alkalize that way. You may be thinking: But wait!	" The question is how to get alkaline water. The passage describes different ways to make alkaline water.



 
Please provide the passage and the question. 
"
0	how to reduce period bloating	Magnesium has been seen time and time again to help improve the general mood of women who suffer from this condition and significantly reduce water retention and bloating. So, if youâre a sufferer, try eating more magnesium-rich foods or take a look at the supplements available at your local health store.	" The question is about how to reduce period bloating. The passage is about the benefits of magnesium for women's health.



 
Please provide the passage and the question. 
"
1	devin booker contract	Current Contract. Devin Booker signed a 3 year / $6,670,800 contract with the Phoenix Suns, including $6,670,800 guaranteed, and an annual average salary of $2,223,600. In 2016-17, Booker will earn a base salary of $2,223,600, while carrying a cap hit of $2,223,600 and a dead cap value of $4,542,960.	" The question is about Devin Booker's contract. The passage describes Devin Booker's contract details.



 
Please provide the passage and the question. 
"
0	define synaptic neuroplasticity	synÂ·apÂ·tic vesÂ·iÂ·cles. the small (average diameter, 30 nm), intracellular, membrane-bound vesicles near the presynaptic membrane of a synaptic junction, containing the transmitter substance that, in chemical synapses, mediates the passage of nerve impulses across the junction. See also: synapse.	" The question is about synaptic neuroplasticity. The passage is about synaptic vesicles.



 
Please provide the passage and the question. 
"
1	during what months do solar flares occur the most	Solar Flares: Solar Maximum Expected To Occur In May. Solar flares have been predicted to be stronger in 2013 due to the Sun reaching the peak of its 11-year cycle. A scientific panel recently noted that the Sun is currently experiencing its âdeepest minimumâ in almost 100 years. The researchers also indicated that the next solar maximum may occur in May. If expectations are accurate, solar flares which are weak now, could intensify as we head closer toward the summer months. So far in 2013, solar activity has remained relatively low, PHYS.org News reports.	" The question is during what months do solar flares occur the most. The passage talks about the solar maximum and its expected occurrence in May.



 
Please provide the passage and the question. 
"
0	can my hot water heater cause my water to smell	A typical hot water heater connects to two pipes -- a cold water supply line and a hot water line. The pipes often have elbow joints so they can bend toward the water heater. Either of these water lines can leak, particularly at the joints. If water sprays from a fitting or pipe, the problem is clear. A dripping pipe or joint is less noticeable.	" The question is about the cause of water smelling. The passage is about hot water heater and its connection.



 
Please provide the passage and the question. 
"
1	what do healing mean	Healing (literally meaning to make whole) is the process of the restoration of health from an unbalanced, diseased or damaged organism. The result of healing can be a cure to a health challenge, but one can heal without being cured. The profession of nursing has been traditionally concerned with matters of healing, whereas historically the profession of medicine has been concerned with curing.	" The question is what does healing mean. The passage defines healing and its process.



 
Please provide the passage and the question. 
"
0	population growth california	A couple hundred thousand jobs being created in a month 40 years ago is a lot more impressive when you only had two-thirds as many people working. Under Obama, job growth only made up for population growth for about half the number of months that it did during previous recoveries. Worse, under Obama, after accounting for population growth, employment shrunk by an average of -0.02% each month. During previous rebounds, monthly jobs net of population growth grew an average 0.07%.	" The question is about population growth in California. The passage is about the job growth in the US.



 
Please provide the passage and the question. 
"
1	who is joe nation	Joe Nation. About. Joe Nation is a Professor of the Practice of Public Policy at Stanford University. He directs the graduate student Practicum in public policy and teaches policy courses on climate change, health care, and California state issues.	" The question is who is Joe Nation. The passage describes Joe Nation as a professor.



 



**Please provide the passage and the question.** 
"
0	what is imei	1. Dial *#06# to find your IMEI number. 2. Purchase you unlock code here: Traditional BlackBerry unlock codes. 3. Your code will be emailed to you. The fastest and easiest way to enter your unlock code is to insert a SIM card from a carrier other than the one the phone was originally locked to (Method 1).se this method if you have a touch screen ONLY BlackBerry like the Torch 9860, Torch 9850, Curve 9380. Please disable all connections on the phone (WIFI, Bluetooth, Network) before you begin. 1. Navigate to the SIM Card menu. 1  Open the Options application (the one that looks like wrench). 2  Select Device.	" The question is about what is IMEI. The passage is about how to find IMEI number.



 


**Instructions:**

* **Read the passage carefully.**
* **Identify the question.**
* **Determine if the passage is relevant to the question.**
* **Provide a clear and concise explanation.**



Let me know if you'd like me to analyze another passage! 
"
1	how long does a cut on your gums take to heal	What's important in evaluating healing time (and thoroughness of healing) is that wounds heal across the gap. They don't heal length-wise. A 1-inch wound whose edges are separated by a 2mm gap will heal no faster than a 5-inch wound separated by a 2mm gap.Thus, if your gums are cut but the wound edges are approximated fairly well, you can expect them to heal rapidly.Generally by 2 weeks time you won't even know that a cut was made there.f it is a surgically created clean cut then it will heal very fast and nicely. It it is a tear it will take some time to heal and will leave a scar. Generally speaking oral mucosa heals very fast, rinsing with warm saline aids healing. m_a_fouda Â· 9 years ago. Thumbs up.	" The question is how long does a cut on your gums take to heal. The passage describes the healing time of a cut on your gums.



 
"
0	when is the westminster westminster kennel club dog show in new york	The most expensive and the cheapest locations to rent in the UK. 1/19 The most expensive places to rent: Kensington and Chelsea Kensington and Chelsea - Â£2,970 pcm based on the average two-bedroom property. 2/19 City of Westminster City of Westminster - Â£2,708 pcm.	" The question is about the Westminster Kennel Club dog show in New York. The passage is about the most expensive and cheapest places to rent in the UK.



 
Please provide the passage and the question. 
"
1	what is a construction company	Construction is directly tied into the fields of civil engineering and architecture. It is a process that consists of building an infrastructure. As a result of this role or procedural description, a construction company is responsible for building structures, in both the commercial and private sectors.he laws which govern the construction process are aimed at preventing cataclysmic events in the future. Explosions, bridge collapses, faulty structures, and wrongful deaths are examples of certain calamities that can occur if a construction company fails to adhere to the governing laws of their project.	" The question is what is a construction company. The passage describes what a construction company is and its responsibilities.



 
Please provide the passage and the question. 
"
0	definition of evaporation	Well chemical rocks can either be made from evaporation or crystallization. An some examples for evaporation is rock salt, gypsum, and limestone. Some examples of crystallizat â¦ ion is limestone, and calcite.5 people found this useful.imestone or Sandstone are two examples of sedimentary rocks. Two examples of sedimentary rocks are slate (fine silt) and chalk (shell remains of sea creatures).	" The question is about the definition of evaporation. The passage is about the formation of rocks.



 
Please provide the passage and the question. 
"
1	what is the typical environment of a spiral galaxy?	The arms of a spiral galaxy have lots of gas and dust, and they are often areas where new stars are constantly forming. The bulge of a spiral galaxy is composed primarily of old, red stars. Very little star formation goes on in the bulge. The table below shows the abbreviations that are used for spiral galaxy types.	" The question is about the typical environment of a spiral galaxy. The passage describes the typical environment of a spiral galaxy.



 
Please provide the passage and the question. 
"
0	devops definition	The one example principle in the Classic Socratic Method is the ability to let a respondentâs definition or idea stand or fall on the basis of finding one illustrating example. In the dialogues of Plato, a definition was often refuted by finding an example that contradicted the definition.	" The question is about the definition of DevOps. The passage is about the Socratic Method.



 
Please provide the passage and the question. 
"
1	meaning of tampons	Tampon: A pack or pad that is used to stop or collect the flow of blood or other fluids. A tampon may be made of cotton, sponge, or another material. Tampons serve in surgery to control bleeding and are used to stop severe nosebleeds. Vaginal tampons collect the flow of menstrual blood.	" The question is what is a tampon. The passage defines a tampon.



 
Please provide the passage and the question. 
"
0	why is isaac newton famous	Very Interesting! Isaac Newton was born in 1643 in Woolsthorpe, England. His father was a wealthy, uneducated farmer who died three months before Newton was born. Newton's mother remarried and he was left in the care of his grandmother. He attended Free Grammar school.ery Interesting! Isaac Newton was born in 1643 in Woolsthorpe, England. His father was a wealthy, uneducated farmer who died three months before Newton was born. Newton's mother remarried and he was left in the care of his grandmother. He attended Free Grammar school.	" The question is why is Isaac Newton famous. The passage is about Isaac Newton's early life.



 
Please provide the passage and the question. 
"
1	what is silicon carbide	Silicon Carbide, SiC Ceramic Properties. Silicon Carbide is the only chemical compound of carbon and silicon. It was originally produced by a high temperature electro-chemical reaction of sand and carbon. Silicon carbide is an excellent abrasive and has been produced and made into grinding wheels and other abrasive products for over one hundred years.	" The question is what is silicon carbide. The passage describes silicon carbide and its properties.



 
Please provide the passage and the question. 
"
0	how many miles are the outer banks	The legend of Nags Head is that in the days of pirates, when tales drifted ashore of the wonderful treasures being plundered at sea, one of the Bankers, (natives to the Outer Banks) got the inspiration which brought the name Nags Head.	" The question is about the distance of the outer banks. The passage talks about the legend of Nags Head.



 
Please provide the passage and the question. 
"
1	what is the symptoms of heart disease	Symptoms of heart disease in your blood vessels (atherosclerotic disease). Cardiovascular disease is caused by narrowed, blocked or stiffened blood vessels that prevent your heart, brain or other parts of your body from receiving enough blood.eart arrhythmia symptoms can include: 1  Fluttering in your chest. 2  Racing heartbeat (tachycardia). 3  Slow heartbeat (bradycardia). 4  Chest pain or discomfort. 5  Shortness of breath. 6  Lightheadedness. 7  Dizziness. 8  Fainting (syncope) or near fainting.	" The question is what are the symptoms of heart disease. The passage describes the symptoms of heart disease.



 
**Please provide the passage and the question.** 
"
0	contingency fee definition	Sample Retainer and Contingency Agreement for an Injury Case. Download article as a PDF. Available in PDF | MS Word. When you have found an attorney you like, he or she will ask you to sign a fee agreement.Most personal injury cases are taken on a contingency fee basis, meaning that if you recover any money from the person that injured you, the attorney will receive a percentage of that recovery as payment for his services.ample Retainer and Contingency Agreement for an Injury Case. Download article as a PDF. Available in PDF | MS Word. When you have found an attorney you like, he or she will ask you to sign a fee agreement.	" The question is about contingency fee definition. The passage is about contingency fee agreement.



 
Please provide the passage and the question. 
"
1	causes of gallstones	List of causes of Gallstones. Following is a list of causes or underlying conditions (see also Misdiagnosis of underlying causes of Gallstones) that could possibly cause Gallstones includes: Cirrhosis of the liver.	" The question is about the causes of gallstones. The passage lists some causes of gallstones.



 



**Please provide the passage and the question.** 
"
0	how long and what temp to cook cornish hens	Buying hens for sale in your area is certainly an easier way to build or add to a backyard chicken flock than raising peeps, but in the spring when demand is high, it may be harder than you'd anticipate to find good, young hens at great prices.Search for hens for sale:ou can also search online for hens for sale on Craigslist, in the Farm and Garden section. Also post on any local forums or online groups to which you belong, and on chicken-themed websites with forums where chicken owners gather to swap ideas and birds.	" The question is about cooking time and temperature of Cornish hens. The passage is about buying hens.



 
Please provide the passage and the question. 
"
1	what are the stages of play	STAGES OF PLAY. Childrenâs skill and development and experience all affect how they play. However, we can broadly classify play into a series of stages. The first series of stages we will look at relates to Social stages of play. There are 6 social stages of play that children engage in from 0-6. Stage 1 Onlooker Play. This is where children watch others, usually from the sidelines and then later imitate the play behaviour they have seen.	" The question is what are the stages of play. The passage describes the stages of play.



 
Please provide the passage and the question. 
"
0	what does the king tell rosencrantz and guildenstern to do	Quotes: From The Man in the Iron Mask (1998/I). King Louis XIV: I may be a young king, but I am king! See more Â». You may correct errors and omissions on this page directly. Clicking the 'Update' button will take you through a step-by-step process.	" The question is about what the king tells Rosencrantz and Guildenstern. The passage is about quotes from the movie.



 
Please provide the passage and the question. 
"
1	is darkseid stronger than superman	So yes, Superman is stronger than Darkseid on a pound for pound basis. The problem is that Superman's morals get in the way of finishing him off (which I honestly do approve of since a hero who kills their opponent isn't much of a hero) and Darkseid simply has more resources to call on than Superman does.arkseid only maintained his power because his followers simply loved him too much to let anything further happen. In the second case Superman lost only after Darkseid hit him with something he'd never seen before, as such it is hard to defend against.	" The question is about the strength of Darkseid and Superman. The passage compares the strength of both characters.



 
Please provide the passage and the question. 
"
0	billion is how much crore	Revenue in the NFL reached an estimated $9.5 billion in 2011-12. That is up $500 million (5.6%) from the year before, and $1.8 billion (23.4%) more than Major League Baseball ($7.7 billion). In recent seasons, the NFL has generated more than $6 billion a year in revenue.	" The question is about billion and crore. The passage talks about NFL revenue.



 
Please provide the passage and the question. 
"
1	when is the puerto rican parade in	We honor the Puerto Rican heritage by declaring every year the third Sunday of September as Puerto Rican Day in the City of Newark. We will host a parade on this day to demonstrate our pride and appreciation for our Puerto Rican heritage. 501C3 | NON-PROFIT.	" The question is when is the Puerto Rican parade in. The passage states that the parade is on the third Sunday of September.



 



Let me know if you'd like me to analyze another passage! 
"
0	why do living organisms need nutrients	DNA, is a nucleic acid that contains the genetic instructions used in the development and functioning of all known living organisms.	" The question is why living organisms need nutrients. The passage is about DNA.



 
Please provide the passage and the question. 
"
1	how many grams sugar in a tablespoon	1 tablespoon of granulated sugar weighs 12.55 grams for US tablespoons. This can be calculated using the following information: 1ml of granulated sugar = 0.849 â¦ g 1 US teaspoon = 4.9289ml 3 teaspoons = 1 tablespoon 3 teaspoons * 4.9289ml * 0.849g = 12.55g US tablespoons are slight different than UK(5.919ml) and Canadian(4.736 ml) tablespoons, also in Australia 1 tablespoon = 4 teaspoons.	" The question is how many grams sugar in a tablespoon. The passage describes the weight of a tablespoon of granulated sugar.



 



**Please provide the passage you want me to evaluate.** 
"
0	how do some form of government differ from citizen participation particularly authoritarian and democratic	Madrid's Location and Climate. Under the terms of the 1978 Constitution, Spain is a democratic state subject to the Rule of Law and is politically structured in the form of a parliamentary Monarchy. The country's capital is Madrid, which is the seat of both the Royal Family and the Government.	" The question is about the difference between government and citizen participation, particularly authoritarian and democratic. The passage is about the location and climate of Madrid.



 
Please provide the passage and the question. 
"
1	what makes my fingers hurt at the joints	Finger joints may also be prone to injury, especially during sports. Joint pain in the fingers is also a common symptom of both osteoarthritis and rheumatoid arthritis. In fact, rheumatoid arthritis â which affects most active joints in the body â generally starts at the fingers where the joints are more delicate.	" The question is what makes fingers hurt at the joints. The passage talks about finger joint injuries and causes.



 
Please provide the passage and the question. 
"
0	where are the alveoli found quizlet	Pneumonia is an infection in one or both lung. It can be caused by fungi, bacteria, or viruses. Pneumonia causes inflammation in your lungâs air sacs, or alveoli. The alveoli fill with fluid or pus, making it difficult to breathe. Symptoms of pneumonia can range from mild to life-threatening.	" The question is where are the alveoli found. The passage talks about pneumonia and its causes, but does not describe the location of alveoli.



 
Please provide the passage and the question. 
"
1	center of excellence definition	center of excellence. a tertiary or quaternary health care provider that is identified as the most expert and cost efficient and produces the best outcomes. Also called center of quality. Academia A hospital or medical center recognized by its peers in the medical community as providing high quality health care in one or more specialties.	" The question is about the definition of center of excellence. The passage defines center of excellence.



 
Please provide the passage and the question. 
"
0	what chain is holiday inn part of	On the way down, I stayed at Comfort Inn in Mount Vernon, which was fairly average. While I was in Mississippi, I stayed at a Holiday Inn Express. It was a step up from the Comfort Inn. The Hampton Inn had the Hilton stamp all over it...the quality and feel was definitely more upscale than the others.	" The question is what chain is Holiday Inn part of. The passage talks about the different hotels but does not explicitly state that Holiday Inn is part of a chain.



 
Please provide the passage and the question. 
"
1	how to know where to put tv antenna at home	Before you buy your antenna and spend your hard earned money you need to consider a few things. You need to find the type of antenna that you need, the location of your antenna, your budget, your skill level and the cost effectiveness of the project.epending of the location of your home you may not benefit from getting your TV programming from a TV antenna if you don't get enough channels where you live or, if the channels available in your area don't appeal to you. Before you start you may want to search all the stations broadcasting where you live.	" The question is how to know where to put a TV antenna at home. The passage talks about the factors to consider when choosing a TV antenna.



 



**Please provide the passage you want me to evaluate.** 
"
0	what causes hair to fall out in women	Re: White dots at ends of hair, Help!!!! In my experience, almost all of my shed hairs have white dots at the end. Like, that is the signal that that particular hair is just done and was ready to fall out. It's usually not split, just has a white dot at the very end. Sorry that's not an explanation.	" The question is what causes hair to fall out in women. The passage is about white dots at the ends of hair.



 
Please provide the passage and the question. 
"
1	what is bonded leather upholstery	Bonded leather is actually polyurethane on the exposed surface, followed by a thin layer of fabric with bits of leather scraps fused onto it. The inner fabric holds the structure together. Bonded leather is not as strong or as durable as true leather. Saddleback Leather: The Most Vital Part of Saddleback: Leather 101.	" The question is what is bonded leather upholstery. The passage describes what is bonded leather upholstery.



 
Please provide the passage and the question. 
"
0	how large do ringneck snake grow	The Belchers Sea Snake. The Belcher's Sea Snake is the deadliest and most venomous snake in the world. A snake that stretches over six feet, this snake's venom is about six times more powerful than that of the deadliest cobra. One bite and you will be done in about twenty minutes. prev next.	" The question is about the size of ringneck snake. The passage is about the Belcher's Sea Snake.



 
Please provide the passage and the question. 
"
1	how much does a carmax salesperson make	Salary. A sales consultant at CarMax can expect to earn between $20,000 and $47,000 per year. The average salary is $32,936, according to GlassDoor.com as of July 2011.alary. A sales consultant at CarMax can expect to earn between $20,000 and $47,000 per year. The average salary is $32,936, according to GlassDoor.com as of July 2011.	" The question is about how much a CarMax salesperson makes. The passage provides information about the average salary of a CarMax salesperson.



 
**Please provide the passage and the question.** 
"
0	address vna wny	Second, the address information in the call setup will point to the internal address of the phone, and the one-way audio problems mentioned previously will crop up. The easiest solution to this is to avoid NAT entirely. If you have a public IP address available for your call server, use it.econd, the address information in the call setup will point to the internal address of the phone, and the one-way audio problems mentioned previously will crop up. The easiest solution to this is to avoid NAT entirely. If you have a public IP address available for your call server, use it.	" The question is about the address vna wny. The passage is about call setup and NAT.



 
Please provide the passage and the question. 
"
1	did chris brown go to jail	Scroll down for video... Back behind bars: Chris Brown has been ordered to stay in jail until April 23 following his arrest on Friday after being kicked out of rehab for violating the rules of the facility.	" The question is if Chris Brown went to jail. The passage states that Chris Brown was ordered to stay in jail.



 
Please provide the passage and the question. 
"
0	how many customers allowed in quickbooks	QuickBooks Online Simple Start subscriptions include 1 user + 2 accountant users. QuickBooks Online Essentials subscriptions include 3 users + 2 accountant users. QuickBooks Online Plus subscriptions include 5 users + 2 accountant users.	" The question is about how many customers can be in QuickBooks. The passage talks about users in QuickBooks.



 
Please provide the passage and the question. 
"
1	where do earthquakes occur and what are the relationships between plates, faults, and earthquakes	Along Faults. Earthquakes can also occur far from the edges of plates, along faults. Faults are cracks in the earth where sections of a plate (or two plates) are moving in different directions. Faults are caused by all that bumping and sliding the plates do. They are more common near the edges of the plates.	" The question is about where earthquakes occur and the relationship between plates, faults, and earthquakes. The passage explains the relationship between plates, faults, and earthquakes.



 
Please provide the passage and the question. 
"
0	what is the plural of matrix	To save the matrix, press QUIT [2nd MODE]. Finding the Inverse and the Determinant of Matrix A. To check the entries in Matrix A, press MATRIX, number 1, and ENTER. To find A inverse, press MATRIX, number 1, x, and ENTER. To find the product of A inverse and A, press MATRIX, number 1, x, MATRIX, number 1, and ENTER.o find det(A), press MATRIX and the right arrow to highlight MATH. Press number 1, MATRIX, number 1, close), and ENTER. det([A]) = -1. Adding and Multiplying Two Matrices. Matrix D as shown to the right was stored in the TI-83. To add matrix A and matrix D, press MATRIX, number 1, +, MATRIX, number 4, and ENTER.	" The question is what is the plural of matrix. The passage is about how to use a calculator to find the inverse and determinant of a matrix.



 
"
1	when was obama first made aware of russian hacking	Obama was first made aware in the summer of 2015 that Russia was trying to hack the both political parties in an effort to disrupt the election, NBC News reported Thursday, but he kept quiet because he assumed Democrat Hillary Clinton would win the presidency, and he didn't want to start a cyberwar with Russia.	" The question is when Obama was first made aware of Russian hacking. The passage describes when Obama was first made aware of Russian hacking.



 
Please provide the passage and the question. 
"
0	largest us banks by market capitalization	We're here to help our clients and communities build a better future. 1  Canada's largest bank by assets and market capitalization, with broad leadership in financial services. 2  A leading diversified financial services company in North America. 3  12th largest bank globally based on market capitalization, with operations in 51 countries.	" The question is about largest US banks by market capitalization. The passage is about Canada's largest bank.



 
Please provide the passage and the question. 
"
1	what causes dark sunken eyes	Sunken Eyes â Causes And Remedies. Sunken eyes mainly appear with aging and can happen due to many reasons. These reasons can be external, like stress and tension, or internal, like lack of sleep, dehydration, and improper diet. This is an aggravated condition of dark circles that makes the underside of eyes look sunken. Most women opt for medical remedies for the improvement of this condition.	" The question is what causes dark sunken eyes. The passage describes the causes of sunken eyes, including aging, stress, and lack of sleep.



 



**Please provide the passage and the question.** 
"
0	who was john steinbeck	View all items tagged And His Name Is John Cena! (My Time Is Now) Â». Youtube video added by our user community for this John Cena song: John Cena And His Name Is John Cena! (My Time Is Now) Music Video. Our user community has not added lyrics for this song yet. To add the song lyrics for , please click here.	" The question is about John Steinbeck. The passage is about John Cena.



 
Please provide the passage and the question. 
"
1	is swimming aerobic or anaerobic	Swimming can be either an aerobic or anaerobic exercise depending on a variety of factors. Your fitness, the intensity of your workout and the duration of your swim can affect whether your body utilizes oxygen, which is the main difference. Aerobic and anaerobic workouts have their perks, but understanding each and the correct way to utilize them will benefit your fitness.	" The question is about whether swimming is aerobic or anaerobic. The passage explains that swimming can be both aerobic and anaerobic.



 
Please provide the passage and the question. 
"
0	who conquered china	History >> Ancient China The Han Dynasty was one of the great dynasties of Ancient China. Much of Chinese culture was established during the Han dynasty and it is sometimes called the Golden Age of Ancient China. It was an era of peace and prosperity and allowed China to expand to a major world power.	" The question is who conquered China. The passage talks about the Han Dynasty and its history.



 
Please provide the passage and the question. 
"
1	when was us public health service founded?	In 1798, Congress established the U. S. Marine Hospital Service -- the predecessor of today's U.S. Public Health Service -- to provide health care to sick and injured merchant seamen.	" The question is when was the US Public Health Service founded. The passage describes the founding of the U.S. Marine Hospital Service, which was the predecessor of the US Public Health Service.



 
Please provide the passage and the question. 
"
0	fixed cost and variable cost definition	selling expenses is a mixed costs. it is a mixture of both fixedand variable components. for example, in selling expenses in a retail shop; fixed costs arethe employees salary â¦. while variable cost will be their commissionor bonus of the sale.	" The question is about fixed and variable costs. The passage talks about selling expenses and mixed costs.



 
Please provide the passage and the question. 
"
1	how much do a lamborghini	Lamborghini History. Lamborghini is known for exotic supercars. Lamborghini cars have an iconic sharp and angular design with a hefty price tag. The Gallardo is the more well known of the Lamborghini models and Lamborghini car prices are close to $200,000. Lamborghini was founded in 1963 by Ferruccio Lamborghini, who made his fortune manufacturing tractors after the Second World War.	" The question is about the price of a Lamborghini. The passage talks about the price of Lamborghini cars.



 
Please provide the passage and the question. 
"
0	cost disney world	Walt Disney World. Walt Disney World Resort is Disney's magical theme park in Lake Buena Vista near Orlando, Florida.	" The question is about the cost of Disney World. The passage is about Walt Disney World Resort.



 



Let me know if you'd like me to analyze another passage! 
"
1	where is juliette georgia located	Juliette is an unincorporated community in Monroe County, Georgia, United States. The community is part of the Macon Metropolitan Statistical Area. Named for Juliette McCracken, daughter of a railroad engineer, the town formed with the merging of Brownsville and Iceberg. The film Fried Green Tomatoes was filmed there, and the town has been the focal point of three popular Southern humor books.	" The question is where is juliette georgia located. The passage describes Juliette Georgia's location.



 
Please provide the passage and the question. 
"
0	who must receive medicare part d notice	Medicare Part B (Medical Insurance) Part B covers certain doctors' services, outpatient care, medical supplies, and preventive services. A type of Medicare health plan offered by a private company that contracts with Medicare to provide you with all your Part A and Part B benefits.	" The question is about who must receive medicare part d notice. The passage is about Medicare Part B.



 
Please provide the passage and the question. 
"
1	what are the causes of earthquakes and tsunamis	Tsunamis are caused by violent seafloor movement associated with earthquakes, landslides, lava entering the sea, seamount collapse, or meteorite impact. The most common cause is earthquakes. See the percentages on the right for the geological events that cause tsunamis.Note that 72% of tsunamis are generated by earthquakes. A disturbance that displaces a large water mass from its equilibrium position can cause a tsunami.ee the percentages on the right for the geological events that cause tsunamis. Note that 72% of tsunamis are generated by earthquakes. A disturbance that displaces a large water mass from its equilibrium position can cause a tsunami.	" The question is about the causes of earthquakes and tsunamis. The passage describes the causes of tsunamis, with a focus on earthquakes.



 



**Please provide the passage and the question.** 
"
0	what is a literary agent salary	The VHSL was established in 1913 by members of both the Jefferson Literary and Debating Society and the Washington Literary Society and Debating Union at the University of Virginia to serve as a debating league for the state's high schools.	" The question is about the salary of a literary agent. The passage is about the history of the VHSL.



 
Please provide the passage and the question. 
"
1	what is harrison county indiana's local sales tax?	West Harrison, IN Sales Tax Rate. The current total local sales tax rate in West Harrison, IN is 7.000% . The December 2014 total local sales tax rate was also 7.000% . West Harrison, IN is in Dearborn County. West Harrison is in the following zip codes: 47060.	" The question is about the local sales tax in Harrison County, Indiana. The passage provides the local sales tax rate in West Harrison, Indiana.



 



**Please provide the passage and the question.** 
"
0	how big do box turtles get	In its first weekend, Teenage Mutant Ninja Turtles opened in first place with $65.6 million, which exceeded Paramount and box office analysts's predictions of a $40 to $45 million opening, and achieved the fourth highest weekend debut for the month of August.	" The question is about the size of box turtles. The passage is about the box office performance of Teenage Mutant Ninja Turtles.



 
Please provide the passage and the question. 
"
1	hand foot mouth in adults symptoms	Hand, Foot, and Mouth Disease (HFMD) Hand, foot, and mouth disease is a common viral illness that usually affects infants and children younger than 5 years old. However, it can sometimes occur in older children and adults. Typical symptoms of hand, foot, and mouth disease include fever, mouth sores, and a skin rash. More.	" The question is about symptoms of hand foot mouth in adults. The passage describes symptoms of hand foot mouth disease, including fever, mouth sores, and a skin rash.



 



**Please provide the passage and the question.** 
"
0	what was the good neighbor policy	What is the history of America's Open Door Policy with China since 1889? The Open Door policy of the United States with China began in 1899 under the guidance and oversight of then-Secretary of State John Hay. Hay initiated the Open Door Policy through a series of notes compiled between 1899 and 1900. These notes were essentially requests from the United States to foster good trade relations between the United States and China.	" The question is about the good neighbor policy. The passage is about the history of America's Open Door Policy with China.



 
Please provide the passage and the question. 
"
1	where are duromax engines made	Duromax Generators. DuroMax generators are manufactured by DuroPower, a California based engine and power tools maker. Unlike other brands they actually make their own engines. With over 20 different models, 2 unique designs for single, triple and four cylinder engines this brand name is synonymous with reliability and affordability. Distinguishing Features Of DuroMax Portable Generators.	" The question is where are duromax engines made. The passage states that Duromax generators are manufactured by DuroPower, a California based engine and power tools maker.



 



**Please provide the passage and the question.** 
"
0	how to screenshot without printscreen	The winking girl who has got internet going gaga is Priya Prakash Varrier from Kerala. YouTube Screenshot Forget men, women too are tripping over the flirty expressions enacted by a girl in the recently gone viral video.	" The question is about how to screenshot without printscreen. The passage is about Priya Prakash Varrier.



 
Please provide the passage and the question. 
"
